File,Creation,Time,UTC,7/30/22,4:09:52,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,
SW,StartTime,7/22/22,3:48:23,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,
,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,
7/30/22,8:58:25,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,58:14.7,7/30/22,58:14.7,7,Unknown,x,
7/30/22,8:58:25,13,200328,25SQCMICSBBE316009D02,DPC,7/30/22,58:14.7,7/30/22,58:14.7,18,Departing,x,x
7/30/22,8:59:55,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,59:45.3,7/30/22,59:45.3,42,Departing,x,x
7/30/22,9:02:46,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,02:35.9,7/30/22,02:35.9,26,Arriving,x,x
7/30/22,9:04:47,10,200330,25SQCMICSBB760A00AA76,DPC,7/30/22,04:36.8,7/30/22,04:36.8,44,Departing,x,x
7/30/22,9:05:27,10,200330,25SQCMICSBBF7E800AAB7,DPC,7/30/22,05:17.1,7/30/22,05:17.1,45,Departing,x,x
7/30/22,9:05:37,10,200330,25SQCMICSBBF7E800AAB7,DPC,7/30/22,05:27.1,7/30/22,05:27.1,13,Unknown,x,
7/30/22,9:05:58,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,05:47.8,7/30/22,05:47.8,21,Departing,x,x
7/30/22,9:07:28,10,200330,25SQCMICSBBDB6800AFEB,DPC,7/30/22,07:17.9,7/30/22,07:17.9,28,Departing,x,x
7/30/22,9:08:08,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,07:58.2,7/30/22,07:58.2,7,Departing,x,x
7/30/22,9:10:49,10,200330,25SQCMICSBB760A00AA76,DPC,7/30/22,10:39.3,7/30/22,10:39.3,14,Arriving,x,x
7/30/22,9:11:10,10,200330,25SQCMICSBBD71F009653,DPC,7/30/22,10:59.5,7/30/22,10:59.5,49,Departing,x,x
7/30/22,9:12:11,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,12:00.5,7/30/22,12:00.5,16,Arriving,x,x
7/30/22,9:12:21,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,12:10.6,7/30/22,12:10.6,39,Unknown,x,
7/30/22,9:12:50,10,200330,25SQCMICSBBF7E800AAB7,DPC,7/30/22,12:40.2,7/30/22,12:40.2,26,Departing,x,x
7/30/22,9:14:11,13,200328,25SQCMICSBB603700B082,DPC,7/30/22,14:01.3,7/30/22,14:01.3,81,Departing,x,x
7/30/22,9:14:41,10,200330,25SQCMICSBBDB6800AFEB,DPC,7/30/22,14:31.0,7/30/22,14:31.0,65,Arriving,x,x
7/30/22,9:14:51,10,200330,25SQCMICSBBDB6800AFEB,DPC,7/30/22,14:41.1,7/30/22,14:41.1,7,Unknown,x,
7/30/22,9:16:42,10,200330,25SQCMICSBB3EA500B0F9,DPC,7/30/22,16:31.8,7/30/22,16:31.8,35,Arriving,x,x
7/30/22,9:17:32,10,200330,25SQCMICSBBB5F100AAA0,DPC,7/30/22,17:22.3,7/30/22,17:22.3,1,Unknown,x,
7/30/22,9:17:42,10,200330,25SQCMICSBBB5F100AAA0,DPC,7/30/22,17:32.3,7/30/22,17:32.3,13,Arriving,x,x
7/30/22,9:18:53,10,200330,25SQCMICSBB6C6000AAAA,DPC,7/30/22,18:42.9,7/30/22,18:42.9,17,Departing,x,x
7/30/22,9:19:44,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,19:33.8,7/30/22,19:33.8,10,Unknown,x,
7/30/22,9:19:54,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,19:43.9,7/30/22,19:43.9,51,Arriving,x,x
7/30/22,9:23:35,10,200330,25SQCMICSBBDB6800AFEB,DPC,7/30/22,23:24.8,7/30/22,23:24.8,3,Unknown,x,
7/30/22,9:23:45,10,200330,25SQCMICSBBDB6800AFEB,DPC,7/30/22,23:34.9,7/30/22,23:34.9,22,Departing,x,x
7/30/22,9:25:56,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,25:46.3,7/30/22,25:46.3,1,Unknown,x,
7/30/22,9:27:06,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,26:56.3,7/30/22,26:56.3,10,Unknown,x,
7/30/22,9:27:06,10,200330,25SQCMICSBBD71F009653,DPC,7/30/22,26:56.3,7/30/22,26:56.3,24,Arriving,x,x
7/30/22,9:27:16,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,27:06.3,7/30/22,27:06.3,46,Arriving,x,x
7/30/22,9:27:47,10,200330,25SQCMICSBB760A00AA76,DPC,7/30/22,27:36.5,7/30/22,27:36.5,14,Departing,x,x
7/30/22,9:30:18,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,30:08.3,7/30/22,30:08.3,11,Departing,x,x
7/30/22,9:31:18,10,200330,25SQCMICSBB909700962F,DPC,7/30/22,31:08.1,7/30/22,31:08.1,42,Arriving,x,x
7/30/22,9:32:09,10,200330,25SQCMICSBB6C6000AAAA,DPC,7/30/22,31:58.5,7/30/22,31:58.5,30,Arriving,x,x
7/30/22,9:32:39,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,32:28.7,7/30/22,32:28.7,18,Departing,x,x
